run,month,fish_before,fish_after,total_caught,sustainability_threshold,Liam_caught,Liam_over_threshold,Olivia_caught,Olivia_over_threshold,Noah_caught,Noah_over_threshold,Isabella_caught,Isabella_over_threshold,Ethan_caught,Ethan_over_threshold
1,1,100,0,100,0,20,True,20,True,20,True,20,True,20,True
2,1,100,0,100,0,20,True,20,True,20,True,20,True,20,True
3,1,100,0,100,0,20,True,20,True,20,True,20,True,20,True
4,1,100,0,100,0,20,True,20,True,20,True,20,True,20,True
5,1,100,0,100,0,20,True,20,True,20,True,20,True,20,True
